Variable Name        Variable Description
-------------        --------------------
code                 Country code, alpha, 3-digit                                                                                                                                                                            
country                                                                                                                                                                                                                      
sftgname             English country name                                                                                                                                                                                                   
agovdem60            Anti-government demonstrations: Any peaceful public gathering of at least 100 people                                                                                                                       
agovdem70            Anti-government demonstrations: Any peaceful public gathering of at least 100 people                                                                                                                       
agovdem80            Anti-government demonstrations: Any peaceful public gathering of at least 100 people                                                                                                                     
assass60             Assassinations: Number of assassinations per thousand population, decade average                                                                                                                        
assass70             Assassinations: Number of assassinations per thousand population, decade average                                                                                                                        
assass80             Assassinations: Number of assassinations per thousand population, decade average                                                                                                                        
blck60               Black Market Premium: Log of 1+ black market premium, decade average.                                                                                                                                   
blck70               Black Market Premium: Log of 1+ black market premium, decade average.                                                                                                                                   
blck80               Black Market Premium: Log of 1+ black market premium, decade average.                                                                                                                                   
cabchg60             Major Cabinet Changes: The number of times in a year that a new premier is named                                                                                                                        
cabchg70             Major Cabinet Changes: The number of times in a year that a new premier is named                                                                                                                        
cabchg80             Major Cabinet Changes: The number of times in a year that a new premier is named                                                                                                                        
compolt60            Dummy =1 for countries with genocidal incident involving political victims or mi                                                                                                                        
compolt70            Dummy =1 for countries with genocidal incident involving political victims or mi                                                                                                                        
compolt80            Dummy =1 for countries with genocidal incident involving political victims or mi                                                                                                                        
constchg60           Major Constitutional Changes: The number of basic alternations in a state's cons                                                                                                                        
constchg70           Major Constitutional Changes: The number of basic alternations in a state's cons                                                                                                                        
constchg80           Major Constitutional Changes: The number of basic alternations in a state's cons                                                                                                                        
corrupti             Knack and Keefer measure of corruption (1980-89)                                                                                                                                                        
corruptm             Mauro measure of corruption (1980-83)                                                                                                                                                                   
coups60              Coups d'Etat: The number of extraconstitutional or forced changes in the top gov                                                                                                                        
coups70              Coups d'Etat: The number of extraconstitutional or forced changes in the top gov                                                                                                                        
coups80              Coups d'Etat: The number of extraconstitutional or forced changes in the top gov                                                                                                                        
deathsPC60           Deaths from Political Violence per One Million Citizens                                                                                                                                                 
deathsPC70           Deaths from Political Violence per One Million Citizens                                                                                                                                                 
deathsPC80           Deaths from Political Violence per One Million Citizens                                                                                                                                                 
democ60              Measure of democracy (Gastil's Political Rights)                                                                                                                                                        
democ70              Measure of democracy (Gastil's Political Rights)                                                                                                                                                        
democ80              Measure of democracy (Gastil's Political Rights)                                                                                                                                                        
elf60                Index of ethnolinguistic fractionalization, 1960.  Measures probability that two                                                                                                                        
govtcris60           Major Government Crises: Any rapidly developing situation that threatens to brin                                                                                                                        
govtcris70           Major Government Crises: Any rapidly developing situation that threatens to brin                                                                                                                        
govtcris80           Major Government Crises: Any rapidly developing situation that threatens to brin                                                                                                                        
gunn1                Gunnemark1: Percent of population not speaking the official language.                                                                                                                                   
gunn2                Gunnemark2: Percent of population not speaking the most widely used language.                                                                                                                           
gyp60                Growth rate of real per capita GDP                                                                                                                                                                      
gyp70                Growth rate of real per capita GDP                                                                                                                                                                      
gyp80                Growth rate of real per capita GDP                                                                                                                                                                      
latinca              Dummy variable for Latin Amercia and the Carribean.                                                                                                                                                     
lly60                Financial Depth: Ratio of liquid liabilities of the financial system to GDP, dec                                                                                                                        
lly70                Financial Depth: Ratio of liquid liabilities of the financial system to GDP, dec                                                                                                                        
lly80                Financial Depth: Ratio of liquid liabilities of the financial system to GDP, dec                                                                                                                        
lrgdp60              Log of initial Income: Log of real per capita GDP measured at the start of each                                                                                                                         
lrgdp70              Log of initial Income: Log of real per capita GDP measured at the start of each                                                                                                                         
